Job Title,Rating,Company Name,Type of ownership,Industry,Sector,max_salary,avg_salary,avg_size,city,state,age,python_yn,R_yn,spark_yn,aws_yn,hadoop_yn
Data Science and Product Manager,3.3,State of Oklahoma,Government,State & Regional Agencies,Government,120,95.0,10000.0,Oklahoma City,OK,30,1,0,1,0,0
Data Science & Machine Learning,3.8,IntraEdge,Company - Private,IT Services,Information Technology,120,95.0,750.5,Phoenix,AZ,18,0,0,1,1,1
Head of Data Science,4.8,Clari,Company - Private,Computer Hardware & Software,Information Technology,120,95.0,350.5,Sunnyvale,CA,8,1,0,1,0,0
"Software Engineer in Test, Data Science & Analytics - San Mateo, CA",4.1,Guidewire Software,Company - Public,Computer Hardware & Software,Information Technology,120,95.0,3000.5,San Mateo,CA,19,1,0,0,1,0
Data Science Business and Operations Manager,3.3,Astellas Pharma,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,120,95.0,3000.5,Northbrook,IL,15,0,0,0,0,0
Data Science Tester,3.5,Youngsoft,Company - Private,IT Services,Information Technology,120,95.0,125.5,Washington,DC,24,1,1,0,1,1
Data Science Engineer,4.1,Dtex Systems,Company - Private,Enterprise Software & Network Solutions,Information Technology,120,95.0,125.5,San Jose,CA,18,0,0,1,0,1
Director Data Science,4.5,Facebook,Company - Public,Internet,Information Technology,120,95.0,10000.0,Menlo Park,CA,16,0,0,0,0,0
Data Science Developer,3.8,Apex Systems,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,120,95.0,3000.5,San Antonio,TX,25,1,0,0,0,0
Director Of Data Science,4.7,Prealize Health,Company - Private,Health Care Services & Hospitals,Health Care,120,95.0,25.5,Palo Alto,CA,-1,1,0,1,1,0
Research Analyst (Data Science),3.4,APCO Worldwide,Company - Private,Consulting,Business Services,120,95.0,750.5,New York,NY,36,0,0,0,0,0
Data Science Analyst/Engineer,4.0,NYU Langone Health,Hospital,Health Care Services & Hospitals,Health Care,120,95.0,10000.0,New York,NY,179,1,0,1,0,1
Business Development Leader - Data Science Solutions,4.6,Blend360,Company - Private,Consulting,Business Services,120,95.0,125.5,Columbia,MD,18,0,0,0,0,0
Data Science Manager (Multiple Positions),3.9,Accenture,Company - Public,Consulting,Business Services,120,95.0,10000.0,Boston,MA,31,0,0,0,0,0
"Head of Data Science, Americas",4.3,BlueOptima,Company - Private,Enterprise Software & Network Solutions,Information Technology,120,95.0,125.5,Phoenix,AZ,14,1,0,0,0,0
Data Science Engineer,4.0,METMOX,Company - Private,IT Services,Information Technology,120,95.0,125.5,Schaumburg,IL,16,1,0,1,0,1
Data Science Engineer,4.8,SoftStandard Solutions,Company - Private,-1,-1,120,95.0,125.5,Avon Park,FL,-1,0,0,1,0,1
Developer III - Data Science,3.3,Inland Empire Health Plan,Company - Public,Health Care Services & Hospitals,Health Care,120,95.0,3000.5,Rancho Cucamonga,CA,24,0,0,0,0,0
Data Science Support Analyst (Journeyman),3.6,BAE Systems USA,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,120,95.0,10000.0,McLean,VA,21,0,0,0,0,0
"Senior Analyst, Data Science",3.9,Roku,Company - Public,IT Services,Information Technology,120,95.0,3000.5,New York,NY,18,1,0,0,0,0
"Director II, Data Science - Office of Data Science",3.4,Liberty Mutual Insurance,Company - Private,Insurance Carriers,Insurance,120,95.0,10000.0,Boston,MA,108,0,0,0,0,0
Computer Science and Data Science,4.1,BGI (Ohio),Company - Private,Accounting,Accounting & Legal,120,95.0,25.5,Akron,OH,-1,0,0,0,0,0
Data Science Analyst,3.7,GNY Insurance Companies,Company - Private,Insurance Carriers,Insurance,124,98.5,350.5,New York,NY,106,1,0,0,0,0
Data Science Manager,-1.0,Decode_M,Unknown,-1,-1,124,98.5,25.5,New York,NY,-1,1,0,0,0,0
Data Science Specialist,3.9,The Aerospace Corporation,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,124,98.5,3000.5,Chantilly,VA,60,1,0,1,0,1
Temporary Lecture - Data Science Program,4.3,UC San Diego,College / University,Colleges & Universities,Education,124,98.5,10000.0,San Diego,CA,60,0,0,0,0,0
Summer Data Science Intern,-1.0,Øptimus Consulting,-1,-1,-1,124,98.5,-1.0,Alexandria,VA,-1,1,0,0,0,0
Senior Manager of Data Science - Operations,3.7,Guild Education,Company - Private,Enterprise Software & Network Solutions,Information Technology,124,98.5,750.5,Denver,CO,5,1,0,0,0,0
Data Science Director,4.5,Facebook,Company - Public,Internet,Information Technology,124,98.5,10000.0,Menlo Park,CA,16,0,0,0,0,1
"Specialist, Data Science",3.6,Nationwide,Company - Private,-1,-1,124,98.5,10000.0,Columbus,OH,95,1,0,0,0,0
Manager of Data Science,2.7,Innocean,Unknown,Advertising & Marketing,Business Services,124,98.5,3000.5,Irvine,CA,15,0,0,0,0,0
Data Science Developer,3.6,Signature Consultants,Company - Private,Staffing & Outsourcing,Business Services,124,98.5,3000.5,Redwood City,CA,23,1,0,0,0,0
"Section Head, Geographic Data Science",4.3,Oak Ridge National Laboratory,Government,Federal Agencies,Government,124,98.5,3000.5,Oak Ridge,TN,77,0,0,0,0,0
Manager - Data Science,4.0,Biz2Credit Inc,Company - Private,Lending,Finance,124,98.5,350.5,New York,NY,13,1,0,0,0,0
Data Science Consultant,4.5,NC State University,College / University,Colleges & Universities,Education,124,98.5,125.5,Raleigh,NC,-1,1,0,0,0,0
Data Science with DataIKU,3.7,Cognizant Technology Solutions,Company - Public,-1,-1,124,98.5,10000.0,Greensboro,NC,26,0,0,0,0,0
